Region,npg percent change
Altai Krai,-277.7777778
Altai Republic,-27.38095238
Amur Oblast,-121.0526316
Arkhangelsk Oblast,-172.972973
Astrakhan Oblast,-85.10638298
Belgorod Oblast,#NAME?
Bryansk Oblast,-5900
Chechen Republic,10.13
Chelyabinsk Oblast,-155.5555556
Chukotka Autonomous Okrug,-63.36633663
Chuvash Republic,-122.8070175
Irkutsk Oblast,-91.93548387
Ivanovo Oblast,158.33
Jewish Autonomous Oblast,-119.5121951
Kabardino-Balkar Republic,-62.60869565
Kaliningrad Oblast,-153.5714286
Kaluga Oblast,700.00
Kamchatka Krai,-85.48387097
Karachay-Cherkess Republic,-79.54545455
Kemerovo Oblast,-325
Khabarovsk Krai,-116.9491525
Khanty–Mansi Autonomous Okrug – Yugra,-38.75968992
Kirov Oblast,-522.2222222
Komi Republic,-104.9180328
Kostroma Oblast,425.00
Krasnodar Krai,400.00
Krasnoyarsk Krai,-97.77777778
Kurgan Oblast,-232.2580645
Kursk Oblast,195.00
Leningrad Oblast,233.33
Lipetsk Oblast,571.43
Magadan Oblast,-106.25
Mari El Republic,-109.0909091
Moscow,-150
Moscow Oblast,-80
Murmansk Oblast,-114.8148148
Nenets Autonomous Okrug,-35.9223301
Nizhny Novgorod Oblast,162.50
Novgorod Oblast,277.78
Novosibirsk Oblast,-120.8333333
Omsk Oblast,-125
Orenburg Oblast,-129.3103448
Oryol Oblast,800.00
Penza Oblast,-5300
Perm Krai,-142.8571429
Primorsky Krai,-143.6363636
Pskov Oblast,146.88
Republic of Adygea,-205.2631579
Republic of Bashkortostan,-104.6153846
Republic of Buryatia,-58.69565217
Republic of Crimea,
Republic of Dagestan,-43.2160804
Republic of Ingushetia,
Republic of Kalmykia,-91.33858268
Republic of Karelia,-238.7096774
Republic of Khakassia,-104.2553191
Republic of Mordovia,-350
Republic of North Ossetia-Alania,-66.21621622
Republic of Tatarstan,-80
Rostov Oblast,#NAME?
Ryazan Oblast,129.17
Saint Petersburg,-178.5714286
Sakha (Yakutia) Republic,-49.60629921
Sakhalin Oblast,-83.60655738
Samara Oblast,-341.6666667
Saratov Oblast,-356.25
Sevastopol,
Smolensk Oblast,357.14
Stavropol Krai,-90.625
Sverdlovsk Oblast,-200
Tambov Oblast,103.12
Tomsk Oblast,-87.17948718
Tula Oblast,76.74
Tuva Republic,-25.42372881
Tver Oblast,105.88
Tyumen Oblast,-63.54166667
Udmurt Republic,-103.7735849
Ulyanovsk Oblast,-239.2857143
Vladimir Oblast,1400.00
Volgograd Oblast,-338.4615385
Vologda Oblast,-314.2857143
Voronezh Oblast,108.33
Yamalo-Nenets Autonomous Okrug,-30.53435115
Yaroslavl Oblast,147.37
Zabaykalsky Krai,-79.76190476
